OBJECTID,GEO_ID_TRT,FEATURE_ID,TRACT_LBL,LOGRECNO,ESL_Score,Income_Score,RE_Score,TotalScore,WeightedTotal333333,Population,NumberofESL,PercentESL,MedianHouseholdIncome,NumberofPOC,PercentPOC,Shape_Length,Shape_Area
235,53033026100,43761,Tract 026100,4872,3,5,5,13,4.33333333,8310,1314,15.81227437,49104,6656,80.09626955,37919.0630588895,46518887.4017557
236,53033026802,43387,Tract 026802,4880,4,5,5,14,4.66666667,5155,1015,19.68962173,45099,3335,64.69447139,21723.214345334,22113475.2801239
237,53033027000,29458,Tract 027000,4881,4,4,4,12,4,3246,695,21.41096734,59333,1646,50.70856439,19195.4884529846,21431450.3050853
238,53033027100,43787,Tract 027100,4882,3,5,4,12,4,3448,420,12.18097448,43006,1806,52.37819026,21820.3456481982,16867772.8708546
239,53033027200,45689,Tract 027200,4883,4,5,5,14,4.66666667,2608,488,18.71165644,57951,1727,66.21932515,31264.8130372826,36676236.5185752
240,53033027300,44038,Tract 027300,4884,5,5,5,15,5,5846,2148,36.74307219,51309,4151,71.00581594,26173.0070911606,38297641.8637649
241,53033026200,45338,Tract 026200,4873,3,5,4,12,4,5608,751,13.39158345,52636,3110,55.45649073,58579.7402753071,169994703.635448
242,53033026300,45688,Tract 026300,4874,4,4,5,13,4.33333333,1641,327,19.92687386,59297,1328,80.92626447,58499.2675258254,56079916.6224744
243,53033026400,44967,Tract 026400,4875,4,5,5,14,4.66666667,6174,1111,17.99481697,50773,3858,62.48785228,46497.5992052731,54565380.6585671
244,53033026500,29188,Tract 026500,4876,4,5,5,14,4.66666667,4236,1047,24.71671388,32106,2968,70.06610009,27641.5173371245,21467548.5071247
245,53033026600,29229,Tract 026600,4877,4,4,4,12,4,2633,661,25.1044436,64375,1488,56.51348272,15958.4838531995,12489441.5184247
246,53033026700,43670,Tract 026700,4878,2,3,3,8,2.66666667,5251,498,9.48390783,83547,1941,36.96438774,28194.3713768699,32265119.5206435
247,53033026801,29350,Tract 026801,4879,4,5,5,14,4.66666667,5825,1386,23.79399142,45880,4119,70.71244635,22488.5601930798,16623719.0749246
248,53033027800,30232,Tract 027800,4890,1,3,1,5,1.66666667,3404,31,0.9106933,91513,388,11.39835488,29251.9630715114,26996803.4040471
249,53033027900,42539,Tract 027900,4891,2,4,3,9,3,8123,658,8.1004555,61949,3510,43.21063646,27007.7388851863,37799202.8575686
250,53033028000,42571,Tract 028000,4892,4,5,5,14,4.66666667,4398,931,21.16871305,47006,3182,72.35106867,24336.8283035321,20374742.7930999
251,53033028100,30460,Tract 028100,4893,5,5,5,15,5,2693,941,34.94244337,54917,2127,78.98254734,21043.3674066723,18604383.8882577
252,53033028200,44609,Tract 028200,4894,5,5,5,15,5,5005,1462,29.21078921,44632,3711,74.14585415,23669.4534247394,28937452.5014296
253,53033028300,45190,Tract 028300,4895,3,4,4,11,3.66666667,5143,549,10.67470348,79561,2996,58.25393739,62961.1513124977,90031908.6073375
254,53033028402,44880,Tract 028402,4896,4,5,5,14,4.66666667,5090,930,18.27111984,45000,3631,71.33595285,47046.8853103809,90686446.1809918
255,53033028403,44610,Tract 028403,4897,4,5,5,14,4.66666667,5362,1139,21.24207385,35985,3498,65.23685192,19304.8992900428,22811341.2430698
256,53033027600,44590,Tract 027600,4887,4,4,4,12,4,4818,950,19.7177252,72132,2347,48.71315899,37953.2302094999,29111931.3029163
257,53033027701,45756,Tract 027701,4888,1,4,1,6,2,4890,68,1.39059305,72281,514,10.51124744,120424.044798465,469051409.428948
258,53033029303,44774,Tract 029303,4914,3,4,4,11,3.66666667,7423,836,11.26229287,72448,4120,55.50316584,26552.3733307244,38853287.7118182
259,53033027702,45343,Tract 027702,4889,1,3,1,5,1.66666667,4745,16,0.33719705,86379,277,5.83772392,207902.121221894,541213100.705784
260,53033029305,32062,Tract 029305,4916,3,3,4,10,3.33333333,4215,668,15.84816133,95714,2149,50.98457888,22943.7077032942,31210784.012851
261,53033029306,32086,Tract 029306,4917,2,3,3,8,2.66666667,3443,322,9.35230903,84837,1585,46.03543421,20992.1917966587,27509793.4547395
262,53033029307,44970,Tract 029307,4918,3,3,2,8,2.66666667,4219,469,11.11637829,95337,1479,35.0557004,26347.7487943488,41663223.4441574
263,53033029403,44000,Tract 029403,4919,4,4,5,13,4.33333333,5746,1337,23.2683606,75613,3637,63.29620606,20935.577152155,25923645.7184968
264,53033029405,32255,Tract 029405,4920,3,3,3,9,3,5706,904,15.84297231,93647,2520,44.16403785,21074.1755664892,26826067.9691187
265,53033029406,44985,Tract 029406,4921,4,3,4,11,3.66666667,5222,922,17.65607047,87724,3130,59.9387208,22017.9871754356,29168757.2582646
266,53033029407,32344,Tract 029407,4922,4,5,4,13,4.33333333,4697,973,20.71535022,47656,2412,51.35192676,19144.3244365208,14601955.418374
267,53033028500,44984,Tract 028500,4898,2,4,4,10,3.33333333,3999,371,9.27731933,62436,2109,52.73818455,34231.0044141666,37782506.8016728
268,53033029001,44665,Tract 029001,4905,2,4,2,8,2.66666667,4710,280,5.9447983,70677,1527,32.42038217,26075.1625652532,27458633.6679353
269,53033029003,31409,Tract 029003,4906,3,5,4,12,4,5700,883,15.49122807,56140,3248,56.98245614,33369.347477416,27696707.0558207
270,53033029004,43788,Tract 029004,4907,4,5,5,14,4.66666667,3938,952,24.17470797,37018,2750,69.83240223,31421.2031079258,19668116.8296901
271,53033029101,45297,Tract 029101,4908,3,3,4,10,3.33333333,3288,368,11.19221411,83750,1841,55.99148418,38747.7394850375,37910353.8035076
272,53033029102,44966,Tract 029102,4909,3,4,4,11,3.66666667,4358,428,9.82101882,82500,2289,52.52409362,25496.136834019,27850667.5626219
273,53033029203,43974,Tract 029203,4910,3,5,4,12,4,4198,517,12.31538828,39929,2590,61.69604574,28605.3505228,21620879.0654706
274,53033029204,43940,Tract 029204,4911,3,4,4,11,3.66666667,7229,840,11.61986443,63786,3979,55.04219117,31475.7029038429,45591082.3263685
275,53033029205,44904,Tract 029205,4912,4,4,4,12,4,4549,834,18.33369971,63113,2392,52.58298527,29965.9731325457,20588546.3418822
276,53033029206,44864,Tract 029206,4913,3,5,5,13,4.33333333,4396,723,16.44676979,30281,2974,67.65241128,71413.2512018159,187486273.744508
277,53033029304,44900,Tract 029304,4915,3,3,3,9,3,5082,538,10.58638331,92775,2388,46.98937426,27020.6690834741,44807265.0498904
278,53033028600,44753,Tract 028600,4899,1,3,1,5,1.66666667,6360,81,1.27358491,92762,860,13.52201258,48231.232205578,68038437.0240783
279,53033028700,31020,Tract 028700,4900,2,4,2,8,2.66666667,5084,326,6.4122738,78591,1634,32.14004721,23285.6199379372,28796195.2000847
280,53033028801,44392,Tract 028801,4901,3,4,4,11,3.66666667,3032,466,15.36939314,67500,1535,50.62664908,32920.2586264698,56014154.5708673
281,53033028802,45350,Tract 028802,4902,4,5,5,14,4.66666667,6954,1236,17.77394305,47117,5004,71.95858499,28737.3659903122,30478337.5828867
282,53033028901,45179,Tract 028901,4903,3,4,2,9,3,3186,331,10.38920276,65455,1012,31.76396736,31434.42796423,24888815.8014093
283,53033028902,31289,Tract 028902,4904,4,5,5,14,4.66666667,7163,1774,24.76615943,46927,5049,70.48722602,24133.9500184644,22197924.2421499
284,53033029503,44901,Tract 029503,4925,5,5,5,15,5,8546,2635,30.83313831,41181,5551,64.95436462,29865.3422240583,25433511.462536
285,53033029504,44211,Tract 029504,4926,4,5,5,14,4.66666667,5970,1045,17.5041876,46565,3792,63.51758794,18236.1915951597,20273670.684366
286,53033029601,44324,Tract 029601,4927,4,4,4,12,4,6914,1252,18.10818629,73220,3971,57.4341915,30657.3018025829,43286103.3339845
